Time resolution is 1 ps
710000 phase=0 rot_cnt = 1
714000 phase=0 rot_cnt = 1
718000 phase=0 rot_cnt = 1
722000 phase=0 rot_cnt = 1
726000 phase=0 rot_cnt = 1
730000 phase=0 rot_cnt = 1
734000 phase=0 rot_cnt = 1
738000 phase=0 rot_cnt = 1
742000 phase=0 rot_cnt = 1
746000 phase=0 rot_cnt = 1
750000 phase=0 rot_cnt = 1
754000 phase=0 rot_cnt = 1
758000 phase=0 rot_cnt = 1
762000 phase=0 rot_cnt = 1
766000 phase=0 rot_cnt = 1
770000 phase=0 rot_cnt = 1
774000 phase=0 rot_cnt = 1
778000 phase=0 rot_cnt = 1
782000 phase=0 rot_cnt = 1
786000 phase=0 rot_cnt = 1
790000 phase=0 rot_cnt = 1
794000 phase=0 rot_cnt = 1
798000 phase=0 rot_cnt = 1
802000 phase=0 rot_cnt = 1
806000 phase=0 rot_cnt = 1
810000 phase=0 rot_cnt = 1
814000 phase=0 rot_cnt = 1
818000 phase=0 rot_cnt = 1
822000 phase=0 rot_cnt = 1
826000 phase=0 rot_cnt = 1
830000 phase=0 rot_cnt = 1
834000 phase=0 rot_cnt = 1
838000 phase=0 rot_cnt = 1
842000 phase=0 rot_cnt = 1
846000 phase=0 rot_cnt = 1
850000 phase=0 rot_cnt = 1
854000 phase=0 rot_cnt = 1
858000 phase=0 rot_cnt = 1
862000 phase=0 rot_cnt = 1
866000 phase=0 rot_cnt = 1
870000 phase=0 rot_cnt = 1
874000 phase=0 rot_cnt = 1
878000 phase=0 rot_cnt = 1
882000 phase=0 rot_cnt = 1
886000 phase=0 rot_cnt = 1
890000 phase=0 rot_cnt = 1
894000 phase=0 rot_cnt = 1
898000 phase=0 rot_cnt = 1
902000 phase=0 rot_cnt = 1
906000 phase=0 rot_cnt = 1
910000 phase=0 rot_cnt = 1
914000 phase=0 rot_cnt = 1
918000 phase=0 rot_cnt = 1
922000 phase=0 rot_cnt = 1
926000 phase=0 rot_cnt = 1
930000 phase=0 rot_cnt = 1
934000 phase=0 rot_cnt = 1
938000 phase=0 rot_cnt = 1
942000 phase=0 rot_cnt = 1
946000 phase=0 rot_cnt = 1
950000 phase=0 rot_cnt = 1
954000 phase=0 rot_cnt = 1
958000 phase=0 rot_cnt = 1
962000 phase=0 rot_cnt = 1
966000 phase=0 rot_cnt = 1
970000 phase=0 rot_cnt = 1
974000 phase=0 rot_cnt = 1
978000 phase=0 rot_cnt = 1
982000 phase=0 rot_cnt = 1
986000 phase=0 rot_cnt = 1
990000 phase=0 rot_cnt = 1
994000 phase=0 rot_cnt = 1
998000 phase=0 rot_cnt = 1
